Question,Answer
What is Apple   Apple scab?,"Apple Scab is a fungal disease causing dark, scaly lesions on apple leaves and fruit."
How to prevent Apple   Apple scab?,"Use disease-resistant varieties, proper spacing, and remove infected parts."
How to treat Apple   Apple scab?,Apply suitable fungicides or bactericides and follow good farming practices.
What is Apple   Black rot?,"Black Rot affects apples, causing circular brown spots that turn black over time."
How to prevent Apple   Black rot?,"Use disease-resistant varieties, proper spacing, and remove infected parts."
How to treat Apple   Black rot?,Apply suitable fungicides or bactericides and follow good farming practices.
What is Apple   Cedar apple rust?,Cedar Apple Rust is a fungal disease leading to bright orange spots on apple leaves.
How to prevent Apple   Cedar apple rust?,"Use disease-resistant varieties, proper spacing, and remove infected parts."
How to treat Apple   Cedar apple rust?,Apply suitable fungicides or bactericides and follow good farming practices.
What is Apple   healthy?,This apple plant is healthy with no visible diseases.
How to prevent Apple   healthy?,"Use disease-resistant varieties, proper spacing, and remove infected parts."
How to treat Apple   healthy?,Apply suitable fungicides or bactericides and follow good farming practices.
What is Blueberry   healthy?,This blueberry plant is healthy with no signs of disease.
How to prevent Blueberry   healthy?,"Use disease-resistant varieties, proper spacing, and remove infected parts."
How to treat Blueberry   healthy?,Apply suitable fungicides or bactericides and follow good farming practices.
What is Cherry (including sour)   Powdery mildew?,Powdery Mildew causes a white powdery growth on cherry leaves.
How to prevent Cherry (including sour)   Powdery mildew?,"Use disease-resistant varieties, proper spacing, and remove infected parts."
How to treat Cherry (including sour)   Powdery mildew?,Apply suitable fungicides or bactericides and follow good farming practices.
What is Cherry (including sour)   healthy?,This cherry plant is healthy with no disease symptoms.
How to prevent Cherry (including sour)   healthy?,"Use disease-resistant varieties, proper spacing, and remove infected parts."
How to treat Cherry (including sour)   healthy?,Apply suitable fungicides or bactericides and follow good farming practices.
What is Corn (maize)   Cercospora leaf spot Gray leaf spot?,"Cercospora Leaf Spot causes grayish lesions on corn leaves, reducing yield."
How to prevent Corn (maize)   Cercospora leaf spot Gray leaf spot?,"Use disease-resistant varieties, proper spacing, and remove infected parts."
How to treat Corn (maize)   Cercospora leaf spot Gray leaf spot?,Apply suitable fungicides or bactericides and follow good farming practices.
What is Corn (maize)   Common rust ?,Common Rust forms reddish-brown pustules on corn leaves.
How to prevent Corn (maize)   Common rust ?,"Use disease-resistant varieties, proper spacing, and remove infected parts."
How to treat Corn (maize)   Common rust ?,Apply suitable fungicides or bactericides and follow good farming practices.
What is Corn (maize)   Northern Leaf Blight?,Northern Leaf Blight causes elongated brown lesions on corn leaves.
How to prevent Corn (maize)   Northern Leaf Blight?,"Use disease-resistant varieties, proper spacing, and remove infected parts."
How to treat Corn (maize)   Northern Leaf Blight?,Apply suitable fungicides or bactericides and follow good farming practices.
What is Corn (maize)   healthy?,This corn plant is healthy with no visible issues.
How to prevent Corn (maize)   healthy?,"Use disease-resistant varieties, proper spacing, and remove infected parts."
How to treat Corn (maize)   healthy?,Apply suitable fungicides or bactericides and follow good farming practices.
What is Grape   Black rot?,Black Rot in grapes leads to circular brown spots on leaves and shriveled fruit.
How to prevent Grape   Black rot?,"Use disease-resistant varieties, proper spacing, and remove infected parts."
How to treat Grape   Black rot?,Apply suitable fungicides or bactericides and follow good farming practices.
What is Grape   Esca (Black Measles)?,Esca (Black Measles) causes dark streaks on grape leaves and affects vine growth.
How to prevent Grape   Esca (Black Measles)?,"Use disease-resistant varieties, proper spacing, and remove infected parts."
How to treat Grape   Esca (Black Measles)?,Apply suitable fungicides or bactericides and follow good farming practices.
What is Grape   Leaf blight (Isariopsis Leaf Spot)?,Leaf Blight in grapes results in yellowing and spotting of leaves.
How to prevent Grape   Leaf blight (Isariopsis Leaf Spot)?,"Use disease-resistant varieties, proper spacing, and remove infected parts."
How to treat Grape   Leaf blight (Isariopsis Leaf Spot)?,Apply suitable fungicides or bactericides and follow good farming practices.
What is Grape   healthy?,This grapevine is healthy with no disease symptoms.
How to prevent Grape   healthy?,"Use disease-resistant varieties, proper spacing, and remove infected parts."
How to treat Grape   healthy?,Apply suitable fungicides or bactericides and follow good farming practices.
What is Orange   Haunglongbing (Citrus greening)?,Citrus Greening is a bacterial disease causing yellowing and fruit drop.
How to prevent Orange   Haunglongbing (Citrus greening)?,"Use disease-resistant varieties, proper spacing, and remove infected parts."
How to treat Orange   Haunglongbing (Citrus greening)?,Apply suitable fungicides or bactericides and follow good farming practices.
What is Peach   Bacterial spot?,"Bacterial Spot causes dark, sunken spots on peach leaves and fruit."
How to prevent Peach   Bacterial spot?,"Use disease-resistant varieties, proper spacing, and remove infected parts."
How to treat Peach   Bacterial spot?,Apply suitable fungicides or bactericides and follow good farming practices.
